obs| 37
5.49577|5.89938|1.13467|1.42963|0|0.470055
5.51347|6.55193|0.204996|0.422906|0|0.470827
7.55688|8.42337|2.37021|2.43134|0|0.362516
8.50121|8.96926|3.98282|4.206|0|0.777547
2.58466|3.20168|2.55746|2.73881|0|0.891318
2.52963|2.89273|0.440008|0.730712|0|0.255024
3.55186|4.06322|0.154965|0.511886|0|0.738232
0.852893|1.19858|3.04679|3.30218|0|0.925207
2.98822|3.31206|0.587005|0.791311|0|0.363462
1.42503|1.93324|2.87624|3.19868|0|0.976041
5.39325|5.90457|2.92624|3.09903|0|0.895872
4.77975|5.61706|1.69918|1.98544|0|0.414985
7.1093|8.02045|3.09469|3.35655|0|0.823319
6.27608|6.97154|5.47805|5.64334|0|0.444357
0.537982|1.19484|4.70645|5.03523|0|0.664223
7.67887|7.71026|1.89015|2.01037|0|0.640365
8.74647|8.94042|1.98586|2.2929|0|0.37596
6.90899|7.63748|5.58157|5.80096|0|0.717433
6.44085|7.2039|4.68219|4.93234|0|0.373659
1.32116|1.83203|2.46922|2.75695|0|0.572516
0.298048|0.812738|0.902152|1.13572|0|0.786527
5.66615|5.96863|4.61207|4.8279|0|0.502176
2.80106|3.39497|4.84197|5.10169|0|0.399931
2.11412|2.67817|0.314421|0.453018|0|0.161114
2.50393|3.086|0.31048|0.499766|0|0.662289
0.094855|0.431853|5.95292|5.99273|0|0.518905
3.22535|3.9147|1.19342|1.48205|0|0.316299
7.04305|7.7392|0.433115|0.809464|0|0.713205
5.42421|5.85745|4.28598|4.44704|0|0.539947
4.55726|4.78764|4.94615|5.17659|0|0.337278
8.97503|8.98745|4.65885|4.83361|0|0.822225
8.70025|8.97021|5.41807|5.67727|0|0.504036
5.64422|6.21621|5.63175|5.83237|0|0.279628
2.77943|3.19719|3.33757|3.49448|0|0.767727
2.13015|2.89676|2.40574|2.57912|0|0.583594
7.70381|8.53153|4.55551|4.78433|0|0.881672
1.7855|2.20059|0.282762|0.48926|0|0.675513
